SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,GAME_ID,GAME_DATE,MATCHUP,WL,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,STL,BLK,PLUS_MINUS
22015,1610612738,BOS,0021501217,2016-04-13,BOS vs. MIA,W,98,37,86,0.43,5,14,0.357,19,22,0.864,7,3,10.0
22015,1610612747,LAL,0021501228,2016-04-13,LAL vs. UTA,W,101,41,85,0.482,6,25,0.24,13,15,0.867,6,3,5.0
22015,1610612756,PHX,0021501229,2016-04-13,PHX vs. LAC,W,114,45,99,0.455,7,26,0.269,17,22,0.773,10,5,9.0
22015,1610612757,POR,0021501230,2016-04-13,POR vs. DEN,W,107,39,89,0.438,11,36,0.306,18,22,0.818,11,8,8.0
22015,1610612761,TOR,0021501218,2016-04-13,TOR @ BKN,W,103,41,93,0.441,13,37,0.351,8,15,0.533,5,10,7.0
22015,1610612743,DEN,0021501230,2016-04-13,DEN @ POR,L,99,40,94,0.426,7,25,0.28,12,18,0.667,10,6,-8.0
22015,1610612741,CHI,0021501222,2016-04-13,CHI vs. PHI,W,115,39,83,0.47,15,24,0.625,22,27,0.815,8,8,10.0
22015,1610612749,MIL,0021501225,2016-04-13,MIL vs. IND,L,92,37,87,0.425,7,23,0.304,11,13,0.846,8,3,-5.0
22015,1610612746,LAC,0021501229,2016-04-13,LAC @ PHX,L,105,43,96,0.448,9,31,0.29,10,12,0.833,9,6,-9.0
22015,1610612744,GSW,0021501227,2016-04-13,GSW vs. MEM,W,125,46,87,0.529,20,47,0.426,13,16,0.813,7,7,21.0
22015,1610612754,IND,0021501225,2016-04-13,IND @ MIL,W,97,39,90,0.433,11,24,0.458,8,10,0.8,8,3,5.0
22015,1610612765,DET,0021501220,2016-04-13,DET @ CLE,W,112,37,85,0.435,16,33,0.485,22,28,0.786,5,11,2.0
22015,1610612755,PHI,0021501222,2016-04-13,PHI @ CHI,L,105,37,81,0.457,17,35,0.486,14,18,0.778,10,7,-10.0
22015,1610612763,MEM,0021501227,2016-04-13,MEM @ GSW,L,104,42,98,0.429,8,24,0.333,12,16,0.75,12,1,-21.0
22015,1610612758,SAC,0021501224,2016-04-13,SAC @ HOU,L,81,32,96,0.333,11,37,0.297,6,13,0.462,11,4,-35.0
22015,1610612742,DAL,0021501223,2016-04-13,DAL vs. SAS,L,91,31,77,0.403,12,39,0.308,17,21,0.81,8,2,-5.0
22015,1610612745,HOU,0021501224,2016-04-13,HOU vs. SAC,W,116,47,97,0.485,10,35,0.286,12,19,0.632,11,7,35.0
22015,1610612766,CHA,0021501219,2016-04-13,CHA vs. ORL,W,117,47,86,0.547,11,29,0.379,12,19,0.632,6,5,14.0
22015,1610612753,ORL,0021501219,2016-04-13,ORL @ CHA,L,103,42,91,0.462,8,27,0.296,11,18,0.611,7,4,-14.0
22015,1610612762,UTA,0021501228,2016-04-13,UTA @ LAL,L,96,39,83,0.47,9,30,0.3,9,15,0.6,10,1,-5.0
22015,1610612764,WAS,0021501221,2016-04-13,WAS vs. ATL,W,109,42,88,0.477,9,28,0.321,16,30,0.533,14,4,11.0
22015,1610612759,SAS,0021501223,2016-04-13,SAS @ DAL,W,96,35,74,0.473,6,23,0.261,20,26,0.769,8,3,5.0
22015,1610612748,MIA,0021501217,2016-04-13,MIA @ BOS,L,88,38,88,0.432,2,19,0.105,10,12,0.833,5,10,-10.0
22015,1610612750,MIN,0021501226,2016-04-13,MIN vs. NOP,W,144,56,86,0.651,13,28,0.464,19,23,0.826,14,8,35.0
22015,1610612751,BKN,0021501218,2016-04-13,BKN vs. TOR,L,96,39,89,0.438,10,26,0.385,8,12,0.667,8,8,-7.0
22015,1610612737,ATL,0021501221,2016-04-13,ATL @ WAS,L,98,32,81,0.395,11,30,0.367,23,31,0.742,13,5,-11.0
22015,1610612740,NOP,0021501226,2016-04-13,NOP @ MIN,L,109,40,92,0.435,11,30,0.367,18,22,0.818,7,0,-35.0
22015,1610612739,CLE,0021501220,2016-04-13,CLE vs. DET,L,110,46,97,0.474,7,18,0.389,11,15,0.733,4,7,-2.0
22015,1610612759,SAS,0021501215,2016-04-12,SAS vs. OKC,W,102,37,87,0.425,4,14,0.286,24,32,0.75,12,8,4.0
22015,1610612748,MIA,0021501213,2016-04-12,MIA @ DET,W,99,38,78,0.487,7,20,0.35,16,22,0.727,7,5,6.0
22015,1610612754,IND,0021501212,2016-04-12,IND vs. NYK,W,102,41,80,0.513,6,19,0.316,14,20,0.7,10,3,12.0
22015,1610612765,DET,0021501213,2016-04-12,DET vs. MIA,L,93,34,84,0.405,5,18,0.278,20,30,0.667,9,4,-6.0
22015,1610612746,LAC,0021501216,2016-04-12,LAC vs. MEM,W,110,41,75,0.547,12,25,0.48,16,21,0.762,11,7,26.0
22015,1610612755,PHI,0021501214,2016-04-12,PHI @ TOR,L,98,35,77,0.455,15,35,0.429,13,25,0.52,8,6,-24.0
22015,1610612760,OKC,0021501215,2016-04-12,OKC @ SAS,L,98,35,87,0.402,6,25,0.24,22,25,0.88,7,5,-4.0
22015,1610612763,MEM,0021501216,2016-04-12,MEM @ LAC,L,84,35,86,0.407,5,20,0.25,9,14,0.643,5,1,-26.0
22015,1610612761,TOR,0021501214,2016-04-12,TOR vs. PHI,W,122,48,95,0.505,10,25,0.4,16,19,0.842,11,5,24.0
22015,1610612752,NYK,0021501212,2016-04-12,NYK @ IND,L,90,36,80,0.45,10,27,0.37,8,9,0.889,6,8,-12.0
22015,1610612751,BKN,0021501206,2016-04-11,BKN vs. WAS,L,111,44,98,0.449,10,31,0.323,13,21,0.619,9,9,-9.0
22015,1610612756,PHX,0021501211,2016-04-11,PHX vs. SAC,L,101,41,100,0.41,5,22,0.227,14,17,0.824,8,3,-4.0
22015,1610612738,BOS,0021501205,2016-04-11,BOS vs. CHA,L,100,34,89,0.382,8,24,0.333,24,29,0.828,6,1,-14.0
22015,1610612758,SAC,0021501211,2016-04-11,SAC @ PHX,W,105,41,83,0.494,6,17,0.353,17,28,0.607,11,12,4.0
22015,1610612737,ATL,0021501203,2016-04-11,ATL @ CLE,L,94,39,87,0.448,8,30,0.267,8,15,0.533,8,6,-15.0
22015,1610612750,MIN,0021501207,2016-04-11,MIN vs. HOU,L,105,38,83,0.458,5,21,0.238,24,33,0.727,12,3,-24.0
22015,1610612766,CHA,0021501205,2016-04-11,CHA @ BOS,W,114,41,81,0.506,14,32,0.438,18,22,0.818,10,7,14.0
22015,1610612762,UTA,0021501210,2016-04-11,UTA vs. DAL,L,92,35,77,0.455,9,33,0.273,13,18,0.722,5,3,-9.0
22015,1610612739,CLE,0021501203,2016-04-11,CLE vs. ATL,W,109,40,83,0.482,11,29,0.379,18,20,0.9,9,4,15.0
22015,1610612749,MIL,0021501204,2016-04-11,MIL @ ORL,L,98,41,78,0.526,3,15,0.2,13,19,0.684,6,7,-9.0
22015,1610612747,LAL,0021501209,2016-04-11,LAL @ OKC,L,79,23,81,0.284,7,31,0.226,26,30,0.867,8,1,-33.0
22015,1610612742,DAL,0021501210,2016-04-11,DAL @ UTA,W,101,36,81,0.444,11,32,0.344,18,22,0.818,7,2,9.0
22015,1610612753,ORL,0021501204,2016-04-11,ORL vs. MIL,W,107,41,84,0.488,7,23,0.304,18,28,0.643,19,10,9.0
22015,1610612740,NOP,0021501208,2016-04-11,NOP vs. CHI,L,116,41,80,0.513,12,26,0.462,22,28,0.786,8,2,-5.0
22015,1610612760,OKC,0021501209,2016-04-11,OKC vs. LAL,W,112,42,96,0.438,12,37,0.324,16,27,0.593,8,11,33.0
22015,1610612741,CHI,0021501208,2016-04-11,CHI @ NOP,W,121,44,77,0.571,10,23,0.435,23,26,0.885,5,3,5.0
22015,1610612764,WAS,0021501206,2016-04-11,WAS @ BKN,W,120,46,89,0.517,9,25,0.36,19,24,0.792,8,1,9.0
22015,1610612745,HOU,0021501207,2016-04-11,HOU @ MIN,W,129,48,86,0.558,15,30,0.5,18,26,0.692,12,5,24.0
22015,1610612755,PHI,0021501197,2016-04-10,PHI vs. MIL,L,108,39,96,0.406,13,46,0.283,17,25,0.68,12,6,-1.0
22015,1610612762,UTA,0021501198,2016-04-10,UTA @ DEN,W,100,36,79,0.456,12,31,0.387,16,21,0.762,7,8,16.0
22015,1610612744,GSW,0021501201,2016-04-10,GSW @ SAS,W,92,34,77,0.442,10,27,0.37,14,18,0.778,7,6,6.0
22015,1610612752,NYK,0021501202,2016-04-10,NYK vs. TOR,L,89,32,89,0.36,7,20,0.35,18,21,0.857,4,3,-4.0
22015,1610612748,MIA,0021501200,2016-04-10,MIA vs. ORL,W,118,43,77,0.558,6,20,0.3,26,30,0.867,10,3,22.0
22015,1610612753,ORL,0021501200,2016-04-10,ORL @ MIA,L,96,37,83,0.446,7,18,0.389,15,19,0.789,6,1,-22.0
22015,1610612764,WAS,0021501194,2016-04-10,WAS vs. CHA,W,113,42,80,0.525,9,21,0.429,20,28,0.714,8,5,15.0
22015,1610612761,TOR,0021501202,2016-04-10,TOR @ NYK,W,93,37,78,0.474,7,20,0.35,12,19,0.632,4,6,4.0
22015,1610612742,DAL,0021501196,2016-04-10,DAL @ LAC,L,91,30,74,0.405,8,30,0.267,23,33,0.697,6,5,-7.0
22015,1610612747,LAL,0021501195,2016-04-10,LAL @ HOU,L,110,41,83,0.494,12,28,0.429,16,19,0.842,10,3,-20.0
22015,1610612743,DEN,0021501198,2016-04-10,DEN vs. UTA,L,84,32,80,0.4,6,27,0.222,14,19,0.737,6,7,-16.0
22015,1610612749,MIL,0021501197,2016-04-10,MIL @ PHI,W,109,40,87,0.46,7,23,0.304,22,24,0.917,10,8,1.0
22015,1610612746,LAC,0021501196,2016-04-10,LAC vs. DAL,W,98,37,76,0.487,9,18,0.5,15,37,0.405,11,6,7.0
22015,1610612766,CHA,0021501194,2016-04-10,CHA @ WAS,L,98,28,81,0.346,12,33,0.364,30,35,0.857,7,2,-15.0
22015,1610612754,IND,0021501199,2016-04-10,IND vs. BKN,W,129,48,86,0.558,11,27,0.407,22,27,0.815,10,4,24.0
22015,1610612745,HOU,0021501195,2016-04-10,HOU vs. LAL,W,130,50,98,0.51,17,41,0.415,13,18,0.722,11,5,20.0
22015,1610612759,SAS,0021501201,2016-04-10,SAS vs. GSW,L,86,34,90,0.378,3,17,0.176,15,19,0.789,10,5,-6.0
22015,1610612751,BKN,0021501199,2016-04-10,BKN @ IND,L,105,35,91,0.385,14,37,0.378,21,26,0.808,12,4,-24.0
22015,1610612738,BOS,0021501188,2016-04-09,BOS @ ATL,L,107,40,90,0.444,11,28,0.393,16,24,0.667,10,6,-11.0
22015,1610612744,GSW,0021501190,2016-04-09,GSW @ MEM,W,100,39,87,0.448,10,36,0.278,12,13,0.923,3,7,1.0
22015,1610612757,POR,0021501192,2016-04-09,POR vs. MIN,L,105,40,80,0.5,9,24,0.375,16,18,0.889,2,4,-1.0
22015,1610612758,SAC,0021501193,2016-04-09,SAC vs. OKC,W,114,45,94,0.479,13,32,0.406,11,20,0.55,12,4,2.0
22015,1610612763,MEM,0021501190,2016-04-09,MEM vs. GSW,L,99,37,96,0.385,7,21,0.333,18,20,0.9,8,4,-1.0
22015,1610612741,CHI,0021501191,2016-04-09,CHI vs. CLE,W,105,40,89,0.449,8,24,0.333,17,21,0.81,8,6,3.0
22015,1610612739,CLE,0021501191,2016-04-09,CLE @ CHI,L,102,36,83,0.434,19,40,0.475,11,18,0.611,5,5,-3.0
22015,1610612740,NOP,0021501189,2016-04-09,NOP vs. PHX,L,100,39,95,0.411,7,21,0.333,15,20,0.75,8,2,-21.0
22015,1610612737,ATL,0021501188,2016-04-09,ATL vs. BOS,W,118,46,88,0.523,17,33,0.515,9,11,0.818,10,10,11.0
22015,1610612756,PHX,0021501189,2016-04-09,PHX @ NOP,W,121,43,83,0.518,10,25,0.4,25,31,0.806,6,8,21.0
22015,1610612760,OKC,0021501193,2016-04-09,OKC @ SAC,L,112,39,81,0.481,13,32,0.406,21,28,0.75,6,5,-2.0
22015,1610612750,MIN,0021501192,2016-04-09,MIN @ POR,W,106,41,84,0.488,5,13,0.385,19,25,0.76,8,7,1.0
22015,1610612746,LAC,0021501187,2016-04-08,LAC @ UTA,W,102,37,83,0.446,13,29,0.448,15,19,0.789,13,3,3.0
22015,1610612755,PHI,0021501180,2016-04-08,PHI vs. NYK,L,102,32,91,0.352,14,37,0.378,24,36,0.667,7,5,-7.0
22015,1610612764,WAS,0021501182,2016-04-08,WAS @ DET,L,99,38,86,0.442,6,19,0.316,17,23,0.739,5,1,-13.0
22015,1610612759,SAS,0021501186,2016-04-08,SAS @ DEN,L,98,36,85,0.424,3,14,0.214,23,28,0.821,6,8,-4.0
22015,1610612763,MEM,0021501185,2016-04-08,MEM @ DAL,L,93,35,87,0.402,7,22,0.318,16,22,0.727,9,1,-10.0
22015,1610612749,MIL,0021501181,2016-04-08,MIL @ BOS,L,109,41,84,0.488,7,17,0.412,20,29,0.69,10,5,-15.0
22015,1610612738,BOS,0021501181,2016-04-08,BOS vs. MIL,W,124,44,78,0.564,6,14,0.429,30,38,0.789,6,9,15.0
22015,1610612761,TOR,0021501183,2016-04-08,TOR vs. IND,W,111,37,68,0.544,10,22,0.455,27,38,0.711,4,5,13.0
